

task	trial	fix1dur	fix2dur	fix3dur	s1dur	s2dur	s3dur	change	target	font	Astim	Vstim	newcolor	ccol1	ccol2	ccol3	ccol4	cside	cpos1	cpos2	cpos3	cpos4	rcol1	rcol2	rcol3	rcol4	rside	rpos1	rpos2	rpos3	rpos4	Resp1	CorAns1	Resp2	CorAns2	Acc1	Acc2	RT1	RT2
5	1	1.166385e-01	3.500508e-01	5.001184e-01	2.000617e-01	4.000530e-01	2.000305e+00	1	3	Calibri	 	 	gray	cyan	yellow	white	magenta	1	536 430	582 406	570 355	571 496	gray	black	yellow	orange	1	729 437	711 359	770 355	699 287	0	0	0	6	1	NaN	NaN	NaN
5	2	1.333389e-01	3.500611e-01	5.001077e-01	2.000325e-01	4.000357e-01	2.000337e+00	0	3	Calibri	9	o	white	gray	black	orange	blue	1	552 478	537 400	541 315	582 433	orange	green	black	pink	1	708 443	726 340	693 513	749 396	0	8	0	8	0	NaN	NaN	NaN
5	3	1.667018e-01	3.500747e-01	5.000506e-01	2.000302e-01	4.000762e-01	2.000335e+00	1	2	Calibri	 	 	blue	pink	magenta	cyan	black	2	776 405	695 391	726 455	733 308	green	orange	purple	gray	2	576 434	518 411	562 355	572 293	0	0	0	6	1	NaN	NaN	NaN
5	4	1.833577e-01	3.500636e-01	5.001092e-01	2.000328e-01	4.000353e-01	2.000329e+00	1	3	Calibri	 	 	green	orange	purple	blue	gray	1	575 365	542 446	513 372	588 492	magenta	orange	gray	purple	1	704 368	710 462	707 297	744 420	0	0	0	6	1	NaN	NaN	NaN
5	5	1.500154e-01	3.500346e-01	5.000840e-01	2.000596e-01	4.000604e-01	2.000328e+00	0	1	Calibri	2	k	cyan	white	black	orange	gray	2	764 388	705 411	719 462	697 344	gray	green	black	purple	2	524 378	560 308	586 503	582 358	0	6	0	8	0	NaN	NaN	NaN
5	6	1.833375e-01	3.500504e-01	5.000865e-01	2.000786e-01	4.000456e-01	2.000341e+00	0	3	Calibri	9	o	purple	cyan	green	orange	red	2	757 330	753 461	695 446	775 395	red	cyan	purple	gray	2	567 490	580 430	552 297	506 397	0	8	0	8	0	NaN	NaN	NaN
5	7	1.833881e-01	3.500718e-01	5.001028e-01	2.000173e-01	4.000390e-01	2.000321e+00	0	1	Calibri	 	 	gray	red	orange	purple	black	1	584 386	576 472	548 308	515 375	green	cyan	white	yellow	1	701 340	705 493	752 406	765 349	0	0	0	8	1	NaN	NaN	NaN
5	8	1.499228e-01	3.500743e-01	5.000793e-01	2.000284e-01	4.000620e-01	2.000304e+00	0	1	Calibri	2	k	yellow	purple	cyan	orange	white	1	581 337	513 365	536 448	571 515	green	black	white	red	1	704 500	752 363	697 335	710 406	0	6	0	8	0	NaN	NaN	NaN
5	9	1.500220e-01	3.500799e-01	5.000867e-01	2.000144e-01	4.000456e-01	2.000333e+00	1	3	Calibri	9	k	magenta	orange	white	cyan	pink	1	514 356	567 377	570 299	579 476	green	orange	pink	blue	1	758 351	695 501	744 469	713 286	0	6	0	6	0	NaN	NaN	NaN
5	10	1.667088e-01	3.500732e-01	5.000686e-01	2.000234e-01	4.000584e-01	2.000322e+00	1	3	Calibri	 	 	cyan	gray	red	yellow	purple	2	723 320	742 462	709 408	759 367	white	blue	magenta	pink	2	558 351	559 293	588 475	574 406	0	0	0	6	1	NaN	NaN	NaN
5	11	1.833547e-01	3.500398e-01	5.000857e-01	2.000664e-01	4.000354e-01	2.000337e+00	0	4	Calibri	9	k	magenta	gray	purple	red	orange	1	563 466	531 388	584 369	549 312	magenta	cyan	green	orange	1	706 433	735 315	717 370	757 454	0	6	0	8	0	NaN	NaN	NaN
5	12	1.833395e-01	3.500557e-01	5.001263e-01	2.000560e-01	4.000333e-01	2.000317e+00	0	1	Calibri	 	 	gray	blue	magenta	red	green	1	578 478	562 411	569 286	509 393	purple	green	gray	orange	1	701 449	766 420	734 310	721 509	0	0	0	8	1	NaN	NaN	NaN
